,avg_price_dif,features
2083,31.7081,['bathrooms' 'sqft_living' 'view' 'condition' 'sqft_basement' 'yr_built']
1116,31.7098,['bathrooms' 'sqft_living' 'view' 'sqft_basement' 'yr_built']
1259,31.7139,['sqft_living' 'sqft_lot' 'floors' 'waterfront' 'yr_built']
2235,31.7146,['sqft_living' 'sqft_lot' 'floors' 'waterfront' 'yr_built' 'yr_renovated']
1993,31.7154,['bathrooms' 'sqft_living' 'sqft_lot' 'waterfront' 'view' 'yr_built']
2233,31.7203,['sqft_living' 'sqft_lot' 'floors' 'waterfront' 'sqft_basement' 'yr_built']
2231,31.7219,['sqft_living' 'sqft_lot' 'floors' 'waterfront' 'sqft_above' 'yr_built']
1894,31.7279,"['bedrooms' 'sqft_lot' 'waterfront' 'sqft_above' 'sqft_basement'
 'yr_built']"
2413,31.7319,['floors' 'waterfront' 'condition' 'sqft_above' 'sqft_basement' 'yr_built']
2306,31.7342,['sqft_living' 'floors' 'waterfront' 'condition' 'yr_built' 'yr_renovated']
1745,31.7408,['bedrooms' 'sqft_living' 'sqft_lot' 'waterfront' 'condition' 'yr_built']
1318,31.7419,['sqft_living' 'floors' 'waterfront' 'condition' 'yr_built']
2304,31.7454,"['sqft_living' 'floors' 'waterfront' 'condition' 'sqft_basement'
 'yr_built']"
1748,31.747,['bedrooms' 'sqft_living' 'sqft_lot' 'waterfront' 'sqft_above' 'yr_built']
2302,31.7476,['sqft_living' 'floors' 'waterfront' 'condition' 'sqft_above' 'yr_built']
1750,31.7483,"['bedrooms' 'sqft_living' 'sqft_lot' 'waterfront' 'sqft_basement'
 'yr_built']"
1752,31.7495,"['bedrooms' 'sqft_living' 'sqft_lot' 'waterfront' 'yr_built'
 'yr_renovated']"
2307,31.7496,"['sqft_living' 'floors' 'waterfront' 'sqft_above' 'sqft_basement'
 'yr_built']"
1467,31.7507,['floors' 'waterfront' 'sqft_above' 'sqft_basement' 'yr_built']
2417,31.7527,"['floors' 'waterfront' 'sqft_above' 'sqft_basement' 'yr_built'
 'yr_renovated']"
1323,31.7647,['sqft_living' 'floors' 'waterfront' 'sqft_basement' 'yr_built']
846,31.7658,['bedrooms' 'sqft_living' 'sqft_lot' 'waterfront' 'yr_built']
1321,31.7667,['sqft_living' 'floors' 'waterfront' 'sqft_above' 'yr_built']
2310,31.7668,"['sqft_living' 'floors' 'waterfront' 'sqft_basement' 'yr_built'
 'yr_renovated']"
2309,31.7689,"['sqft_living' 'floors' 'waterfront' 'sqft_above' 'yr_built'
 'yr_renovated']"
537,31.7708,['sqft_living' 'floors' 'waterfront' 'yr_built']
1325,31.7727,['sqft_living' 'floors' 'waterfront' 'yr_built' 'yr_renovated']
2069,31.7802,['bathrooms' 'sqft_living' 'waterfront' 'view' 'yr_built' 'yr_renovated']
1097,31.7808,['bathrooms' 'sqft_living' 'waterfront' 'view' 'yr_built']
1982,31.7934,['bathrooms' 'sqft_living' 'sqft_lot' 'floors' 'condition' 'yr_built']
2014,31.7958,['bathrooms' 'sqft_living' 'sqft_lot' 'view' 'yr_built' 'yr_renovated']
1061,31.7962,['bathrooms' 'sqft_living' 'sqft_lot' 'view' 'yr_built']
2062,31.7983,['bathrooms' 'sqft_living' 'waterfront' 'view' 'condition' 'yr_built']
2007,31.8101,['bathrooms' 'sqft_living' 'sqft_lot' 'view' 'condition' 'yr_built']
2195,31.8197,['bathrooms' 'floors' 'condition' 'sqft_above' 'sqft_basement' 'yr_built']
2055,31.8233,['bathrooms' 'sqft_living' 'floors' 'condition' 'yr_built' 'yr_renovated']
2388,31.8242,['sqft_lot' 'waterfront' 'view' 'sqft_above' 'sqft_basement' 'yr_built']
1086,31.8277,['bathrooms' 'sqft_living' 'floors' 'condition' 'yr_built']
2126,31.8278,['bathrooms' 'sqft_lot' 'floors' 'sqft_above' 'sqft_basement' 'yr_built']
2053,31.8335,['bathrooms' 'sqft_living' 'floors' 'condition' 'sqft_basement' 'yr_built']
2051,31.8342,['bathrooms' 'sqft_living' 'floors' 'condition' 'sqft_above' 'yr_built']
1989,31.8343,['bathrooms' 'sqft_living' 'sqft_lot' 'floors' 'yr_built' 'yr_renovated']
1050,31.8346,['bathrooms' 'sqft_living' 'sqft_lot' 'floors' 'yr_built']
2261,31.8386,['sqft_living' 'sqft_lot' 'waterfront' 'view' 'sqft_above' 'yr_built']
1987,31.8418,['bathrooms' 'sqft_living' 'sqft_lot' 'floors' 'sqft_basement' 'yr_built']
2263,31.8422,['sqft_living' 'sqft_lot' 'waterfront' 'view' 'sqft_basement' 'yr_built']
1985,31.8426,['bathrooms' 'sqft_living' 'sqft_lot' 'floors' 'sqft_above' 'yr_built']
2056,31.8533,"['bathrooms' 'sqft_living' 'floors' 'sqft_above' 'sqft_basement'
 'yr_built']"
2199,31.8547,"['bathrooms' 'floors' 'sqft_above' 'sqft_basement' 'yr_built'
 'yr_renovated']"
1216,31.855,['bathrooms' 'floors' 'sqft_above' 'sqft_basement' 'yr_built']
1958,31.8561,"['bedrooms' 'waterfront' 'condition' 'sqft_above' 'sqft_basement'
 'yr_built']"
1118,31.8617,['bathrooms' 'sqft_living' 'view' 'yr_built' 'yr_renovated']
409,31.8625,['bathrooms' 'sqft_living' 'view' 'yr_built']
2397,31.864,['sqft_lot' 'view' 'condition' 'sqft_above' 'sqft_basement' 'yr_built']
1093,31.8651,['bathrooms' 'sqft_living' 'floors' 'yr_built' 'yr_renovated']
398,31.8654,['bathrooms' 'sqft_living' 'floors' 'yr_built']
2059,31.8683,"['bathrooms' 'sqft_living' 'floors' 'sqft_basement' 'yr_built'
 'yr_renovated']"
1091,31.8685,['bathrooms' 'sqft_living' 'floors' 'sqft_basement' 'yr_built']
2058,31.8694,['bathrooms' 'sqft_living' 'floors' 'sqft_above' 'yr_built' 'yr_renovated']
1089,31.8697,['bathrooms' 'sqft_living' 'floors' 'sqft_above' 'yr_built']
1962,31.8703,"['bedrooms' 'waterfront' 'sqft_above' 'sqft_basement' 'yr_built'
 'yr_renovated']"
1819,31.8746,['bedrooms' 'sqft_living' 'waterfront' 'condition' 'sqft_above' 'yr_built']
1821,31.8761,"['bedrooms' 'sqft_living' 'waterfront' 'condition' 'sqft_basement'
 'yr_built']"
2277,31.8777,['sqft_living' 'sqft_lot' 'view' 'condition' 'sqft_above' 'yr_built']
1111,31.8778,['bathrooms' 'sqft_living' 'view' 'condition' 'yr_built']
2085,31.8781,['bathrooms' 'sqft_living' 'view' 'condition' 'yr_built' 'yr_renovated']
2401,31.8788,['sqft_lot' 'view' 'sqft_above' 'sqft_basement' 'yr_built' 'yr_renovated']
2279,31.8819,['sqft_living' 'sqft_lot' 'view' 'condition' 'sqft_basement' 'yr_built']
1824,31.8844,"['bedrooms' 'sqft_living' 'waterfront' 'sqft_above' 'sqft_basement'
 'yr_built']"
1026,31.8852,['bedrooms' 'waterfront' 'sqft_above' 'sqft_basement' 'yr_built']
2282,31.887,['sqft_living' 'sqft_lot' 'view' 'sqft_above' 'sqft_basement' 'yr_built']
1826,31.8891,"['bedrooms' 'sqft_living' 'waterfront' 'sqft_above' 'yr_built'
 'yr_renovated']"
1827,31.8904,"['bedrooms' 'sqft_living' 'waterfront' 'sqft_basement' 'yr_built'
 'yr_renovated']"
1908,31.8919,['bedrooms' 'sqft_lot' 'condition' 'sqft_above' 'sqft_basement' 'yr_built']
1442,31.892,['sqft_lot' 'view' 'sqft_above' 'sqft_basement' 'yr_built']
891,31.8921,['bedrooms' 'sqft_living' 'waterfront' 'condition' 'yr_built']
1723,31.8921,['bedrooms' 'sqft_living' 'sqft_lot' 'floors' 'view' 'condition']
2284,31.8929,['sqft_living' 'sqft_lot' 'view' 'sqft_above' 'yr_built' 'yr_renovated']
1823,31.8948,"['bedrooms' 'sqft_living' 'waterfront' 'condition' 'yr_built'
 'yr_renovated']"
2285,31.8968,['sqft_living' 'sqft_lot' 'view' 'sqft_basement' 'yr_built' 'yr_renovated']
2377,31.8991,['sqft_lot' 'floors' 'condition' 'sqft_above' 'sqft_basement' 'yr_built']
2251,31.9013,['sqft_living' 'sqft_lot' 'floors' 'condition' 'yr_built' 'yr_renovated']
898,31.9033,['bedrooms' 'sqft_living' 'waterfront' 'yr_built' 'yr_renovated']
894,31.9042,['bedrooms' 'sqft_living' 'waterfront' 'sqft_above' 'yr_built']
896,31.9054,['bedrooms' 'sqft_living' 'waterfront' 'sqft_basement' 'yr_built']
1296,31.9062,['sqft_living' 'sqft_lot' 'view' 'sqft_above' 'yr_built']
1268,31.9071,['sqft_living' 'sqft_lot' 'floors' 'condition' 'yr_built']
1791,31.9078,['bedrooms' 'sqft_living' 'floors' 'view' 'condition' 'yr_renovated']
